threshold	A	u(A)
100	1.545860	0.000830
600	1.512649	0.000824
1100	1.509509	0.000823
1600	1.508623	0.000823
2100	1.507402	0.000823
2600	1.507583	0.000823
3100	1.509557	0.000823
3600	1.507514	0.000823
4100	1.506829	0.000823
4600	1.506626	0.000823
5100	1.508186	0.000823
5600	1.507001	0.000823
6100	1.507677	0.000823
6600	1.505797	0.000823
7100	1.506767	0.000823
7600	1.506662	0.000823
8100	1.507226	0.000823
8600	1.506590	0.000823
9100	1.505988	0.000823
9600	1.506202	0.000823
10100	1.506635	0.000823
10600	1.507404	0.000823
11100	1.506473	0.000823
11600	1.507246	0.000823
12100	1.508000	0.000823
12600	1.507059	0.000823
13100	1.506585	0.000823
13600	1.506515	0.000823
14100	1.505411	0.000823
14600	1.507927	0.000823
15100	1.507403	0.000823
15600	1.508049	0.000823
16100	1.507747	0.000823
16600	1.506329	0.000823
17100	1.507133	0.000823
17600	1.506522	0.000823
18100	1.506126	0.000823
18600	1.506643	0.000823
19100	1.507606	0.000823
19600	1.505701	0.000823
20100	1.507456	0.000823
20600	1.505626	0.000823
21100	1.506415	0.000823
21600	1.506848	0.000823
