threshold	A	u(A)
6298	1.507521	0.000368
7563	1.506894	0.000368
7626	1.507029	0.000368
9962	1.507104	0.000368
7861	1.506470	0.000368
7066	1.506043	0.000368
5254	1.507188	0.000368
9285	1.506965	0.000368
8955	1.507025	0.000368
8404	1.507046	0.000368
6462	1.507136	0.000368
5978	1.507326	0.000368
6844	1.506890	0.000368
5881	1.507731	0.000368
6431	1.507018	0.000368
6712	1.507015	0.000368
8713	1.506703	0.000368
6059	1.506993	0.000368
9030	1.507011	0.000368
8326	1.506667	0.000368
9293	1.507394	0.000368
7944	1.506510	0.000368
7078	1.507662	0.000368
6157	1.507714	0.000368
5775	1.507172	0.000368
5645	1.507863	0.000368
8070	1.507138	0.000368
9482	1.506443	0.000368
7110	1.507471	0.000368
5271	1.507215	0.000368
6414	1.507787	0.000368
8979	1.507158	0.000368
5046	1.507483	0.000368
8591	1.506966	0.000368
9726	1.506987	0.000368
6130	1.507301	0.000368
6536	1.506757	0.000368
7015	1.506591	0.000368
6115	1.507283	0.000368
5387	1.507275	0.000368
5831	1.506775	0.000368
8669	1.506436	0.000368
8525	1.506995	0.000368
6144	1.507194	0.000368
8708	1.507339	0.000368
8665	1.506917	0.000368
6461	1.507088	0.000368
9088	1.506663	0.000368
7927	1.507074	0.000368
8408	1.506544	0.000368
7719	1.507835	0.000368
7247	1.507149	0.000368
9263	1.507150	0.000368
6851	1.507092	0.000368
8095	1.507328	0.000368
8891	1.506470	0.000368
6350	1.507199	0.000368
8884	1.507328	0.000368
6035	1.507275	0.000368
6231	1.507362	0.000368
7168	1.507043	0.000368
9062	1.507263	0.000368
5843	1.506137	0.000368
6838	1.506982	0.000368
6936	1.507501	0.000368
9079	1.507012	0.000368
9643	1.506326	0.000368
9789	1.507083	0.000368
9178	1.506744	0.000368
5776	1.507378	0.000368
6263	1.506618	0.000368
9645	1.507039	0.000368
9132	1.506852	0.000368
6524	1.507219	0.000368
9592	1.507167	0.000368
5005	1.507301	0.000368
7139	1.507012	0.000368
8886	1.507426	0.000368
8066	1.507478	0.000368
6870	1.506813	0.000368
8610	1.507086	0.000368
8128	1.507354	0.000368
6501	1.507290	0.000368
6973	1.507345	0.000368
