threshold	A	u(A)
1000	1.508244	0.002603
1050	1.515030	0.002607
1100	1.511970	0.002605
1150	1.512612	0.002605
1200	1.510362	0.002604
1250	1.512684	0.002605
1300	1.512252	0.002605
1350	1.511598	0.002605
1400	1.506228	0.002602
1450	1.509774	0.002604
1500	1.506696	0.002602
1550	1.504992	0.002601
1600	1.510674	0.002604
1650	1.509942	0.002604
1700	1.509078	0.002603
1750	1.511844	0.002605
1800	1.508676	0.002603
1850	1.505772	0.002601
1900	1.508802	0.002603
1950	1.509564	0.002604
2000	1.508640	0.002603
2050	1.506792	0.002602
2100	1.514238	0.002606
2150	1.508730	0.002603
2200	1.506258	0.002602
2250	1.502436	0.002599
2300	1.506534	0.002602
2350	1.505418	0.002601
2400	1.509750	0.002604
2450	1.508652	0.002603
2500	1.510284	0.002604
2550	1.507728	0.002603
2600	1.507158	0.002602
2650	1.508910	0.002603
2700	1.509930	0.002604
2750	1.513068	0.002606
2800	1.508898	0.002603
2850	1.510716	0.002604
2900	1.504728	0.002601
2950	1.508034	0.002603
3000	1.506726	0.002602
3050	1.504194	0.002600
3100	1.507932	0.002603
3150	1.503588	0.002600
3200	1.501428	0.002599
3250	1.510764	0.002604
3300	1.507896	0.002603
3350	1.511142	0.002604
3400	1.507362	0.002602
3450	1.502178	0.002599
3500	1.510206	0.002604
3550	1.510032	0.002604
3600	1.507128	0.002602
3650	1.504956	0.002601
3700	1.509456	0.002604
3750	1.507860	0.002603
3800	1.505712	0.002601
3850	1.508082	0.002603
3900	1.506036	0.002602
3950	1.506480	0.002602
4000	1.504824	0.002601
4050	1.507128	0.002602
4100	1.504740	0.002601
4150	1.506714	0.002602
4200	1.507770	0.002603
4250	1.511562	0.002605
4300	1.506702	0.002602
4350	1.505940	0.002601
4400	1.505262	0.002601
4450	1.507596	0.002602
4500	1.513662	0.002606
4550	1.509084	0.002603
4600	1.508772	0.002603
4650	1.505394	0.002601
4700	1.509240	0.002603
4750	1.507524	0.002602
4800	1.509390	0.002603
4850	1.508736	0.002603
4900	1.505352	0.002601
4950	1.504926	0.002601
5000	1.508136	0.002603
5050	1.501806	0.002599
5100	1.506738	0.002602
5150	1.504938	0.002601
5200	1.507302	0.002602
5250	1.507356	0.002602
5300	1.502436	0.002599
5350	1.508700	0.002603
5400	1.506930	0.002602
5450	1.506216	0.002602
5500	1.510548	0.002604
5550	1.504728	0.002601
5600	1.508214	0.002603
5650	1.504914	0.002601
5700	1.500450	0.002598
5750	1.508304	0.002603
5800	1.505622	0.002601
5850	1.506978	0.002602
5900	1.504026	0.002600
5950	1.504056	0.002600
6000	1.505730	0.002601
6050	1.505904	0.002601
6100	1.507824	0.002603
6150	1.504374	0.002601
6200	1.504764	0.002601
6250	1.508232	0.002603
6300	1.507944	0.002603
6350	1.507626	0.002602
6400	1.508058	0.002603
6450	1.509120	0.002603
6500	1.507488	0.002602
6550	1.504224	0.002601
6600	1.504590	0.002601
6650	1.509174	0.002603
6700	1.504116	0.002600
6750	1.505844	0.002601
6800	1.507332	0.002602
6850	1.510914	0.002604
6900	1.505754	0.002601
6950	1.509342	0.002603
7000	1.507530	0.002602
7050	1.510104	0.002604
7100	1.508172	0.002603
7150	1.509132	0.002603
7200	1.505052	0.002601
7250	1.508502	0.002603
7300	1.507704	0.002603
7350	1.505976	0.002602
7400	1.506996	0.002602
7450	1.503780	0.002600
7500	1.508478	0.002603
7550	1.499790	0.002598
7600	1.505556	0.002601
7650	1.501950	0.002599
7700	1.507212	0.002602
7750	1.506408	0.002602
7800	1.508742	0.002603
7850	1.504512	0.002601
7900	1.509918	0.002604
7950	1.510470	0.002604
8000	1.502772	0.002600
8050	1.506492	0.002602
8100	1.511580	0.002605
8150	1.504386	0.002601
8200	1.506336	0.002602
8250	1.507242	0.002602
8300	1.509858	0.002604
8350	1.505670	0.002601
8400	1.503396	0.002600
8450	1.505790	0.002601
8500	1.508898	0.002603
8550	1.509630	0.002604
8600	1.506792	0.002602
8650	1.503858	0.002600
8700	1.508406	0.002603
8750	1.508652	0.002603
8800	1.503726	0.002600
8850	1.500072	0.002598
8900	1.506768	0.002602
8950	1.506006	0.002602
9000	1.510212	0.002604
9050	1.507338	0.002602
9100	1.510830	0.002604
9150	1.507776	0.002603
9200	1.503570	0.002600
9250	1.511154	0.002604
9300	1.510044	0.002604
9350	1.509552	0.002604
9400	1.507662	0.002602
9450	1.507860	0.002603
9500	1.509888	0.002604
9550	1.506864	0.002602
9600	1.508028	0.002603
9650	1.508856	0.002603
9700	1.505346	0.002601
9750	1.505826	0.002601
9800	1.507482	0.002602
9850	1.509564	0.002604
9900	1.508082	0.002603
9950	1.505040	0.002601
10000	1.502976	0.002600
