threshold	A	u(A)
9589	1.506964	0.000368
7397	1.506327	0.000368
5100	1.507601	0.000368
7916	1.507278	0.000368
7752	1.507741	0.000368
6810	1.507000	0.000368
7063	1.507021	0.000368
5893	1.506596	0.000368
7054	1.507209	0.000368
8792	1.507125	0.000368
9122	1.507352	0.000368
7534	1.506810	0.000368
8033	1.507015	0.000368
7553	1.506915	0.000368
9002	1.507004	0.000368
6311	1.507288	0.000368
9610	1.507053	0.000368
8087	1.506794	0.000368
9530	1.506760	0.000368
9143	1.506972	0.000368
7222	1.506694	0.000368
5899	1.507499	0.000368
8791	1.507993	0.000368
7257	1.506986	0.000368
9394	1.507071	0.000368
8446	1.506581	0.000368
7498	1.507260	0.000368
7707	1.507259	0.000368
8238	1.507144	0.000368
8202	1.506841	0.000368
7866	1.506734	0.000368
8525	1.506365	0.000368
9910	1.506695	0.000368
7470	1.506813	0.000368
8465	1.506823	0.000368
8243	1.507427	0.000368
6876	1.506925	0.000368
9915	1.506357	0.000368
6493	1.507047	0.000368
8283	1.507217	0.000368
8127	1.506649	0.000368
9240	1.507554	0.000368
6808	1.507197	0.000368
8861	1.507006	0.000368
6858	1.507326	0.000368
6999	1.507278	0.000368
7605	1.507315	0.000368
6885	1.507495	0.000368
7080	1.507486	0.000368
8806	1.505881	0.000368
7057	1.507155	0.000368
5368	1.507933	0.000368
7571	1.507340	0.000368
5586	1.507659	0.000368
7066	1.507428	0.000368
8025	1.507530	0.000368
7961	1.507304	0.000368
5874	1.507021	0.000368
5240	1.507642	0.000368
8969	1.507056	0.000368
8388	1.507439	0.000368
6695	1.506938	0.000368
9018	1.506840	0.000368
8471	1.507724	0.000368
5980	1.507346	0.000368
7165	1.507015	0.000368
9698	1.506991	0.000368
8726	1.506614	0.000368
5583	1.506853	0.000368
9915	1.507073	0.000368
7776	1.506966	0.000368
7886	1.507082	0.000368
7961	1.506799	0.000368
9263	1.506403	0.000368
8345	1.507340	0.000368
9290	1.506691	0.000368
6263	1.507701	0.000368
8873	1.507022	0.000368
9926	1.506758	0.000368
5622	1.506645	0.000368
8968	1.506754	0.000368
6846	1.506513	0.000368
5747	1.506951	0.000368
9057	1.506988	0.000368
5391	1.506943	0.000368
8219	1.506292	0.000368
5508	1.507789	0.000368
7900	1.506785	0.000368
7678	1.506990	0.000368
6278	1.507263	0.000368
8718	1.506312	0.000368
6397	1.506595	0.000368
5543	1.506773	0.000368
9816	1.506997	0.000368
9088	1.507032	0.000368
7361	1.506506	0.000368
7596	1.507436	0.000368
7136	1.506783	0.000368
9588	1.506922	0.000368
6624	1.507221	0.000368
9433	1.506876	0.000368
9409	1.507038	0.000368
5358	1.507326	0.000368
8706	1.507301	0.000368
8551	1.506813	0.000368
5975	1.506647	0.000368
8403	1.506593	0.000368
9902	1.506833	0.000368
6300	1.507061	0.000368
7400	1.507195	0.000368
6973	1.506933	0.000368
8285	1.507181	0.000368
6480	1.507440	0.000368
8552	1.507143	0.000368
7436	1.507441	0.000368
8078	1.506401	0.000368
6603	1.506848	0.000368
8199	1.507211	0.000368
7982	1.507284	0.000368
8023	1.507177	0.000368
8820	1.506286	0.000368
6257	1.506793	0.000368
5249	1.506817	0.000368
9090	1.506492	0.000368
8834	1.507673	0.000368
9565	1.506854	0.000368
7587	1.507864	0.000368
6442	1.506664	0.000368
8669	1.506728	0.000368
6567	1.507382	0.000368
8290	1.506226	0.000368
6056	1.508141	0.000368
8020	1.506998	0.000368
8854	1.506785	0.000368
7946	1.506891	0.000368
5203	1.507427	0.000368
8381	1.506205	0.000368
9437	1.506567	0.000368
5005	1.507196	0.000368
6280	1.507099	0.000368
5918	1.507659	0.000368
8180	1.507022	0.000368
7071	1.506942	0.000368
8976	1.507116	0.000368
6548	1.506466	0.000368
6976	1.507301	0.000368
9710	1.506647	0.000368
9817	1.507756	0.000368
9699	1.507349	0.000368
7745	1.507090	0.000368
5567	1.506653	0.000368
9984	1.506875	0.000368
7708	1.507087	0.000368
7317	1.507372	0.000368
8744	1.506904	0.000368
7279	1.507151	0.000368
9609	1.507047	0.000368
9700	1.506769	0.000368
6154	1.507458	0.000368
8835	1.506878	0.000368
5774	1.507109	0.000368
9643	1.507035	0.000368
9196	1.507458	0.000368
9963	1.506775	0.000368
8134	1.506956	0.000368
8843	1.506639	0.000368
8607	1.507376	0.000368
8493	1.506211	0.000368
7350	1.506977	0.000368
8488	1.507400	0.000368
8278	1.506584	0.000368
5960	1.507661	0.000368
9911	1.506861	0.000368
6672	1.506912	0.000368
6344	1.506984	0.000368
8310	1.506310	0.000368
5741	1.507039	0.000368
5653	1.506988	0.000368
7148	1.506956	0.000368
5104	1.507602	0.000368
9957	1.507579	0.000368
9819	1.506484	0.000368
6947	1.506782	0.000368
8414	1.506289	0.000368
6644	1.507098	0.000368
7422	1.506884	0.000368
9754	1.507206	0.000368
7145	1.506569	0.000368
7071	1.506955	0.000368
7347	1.507247	0.000368
6974	1.507178	0.000368
5833	1.507100	0.000368
7350	1.506727	0.000368
7144	1.506747	0.000368
7258	1.507233	0.000368
7647	1.507584	0.000368
8757	1.505985	0.000368
5195	1.507635	0.000368
6031	1.506325	0.000368
7649	1.506338	0.000368
6454	1.506461	0.000368
6104	1.506834	0.000368
5007	1.507441	0.000368
8624	1.507051	0.000368
8467	1.506954	0.000368
8117	1.506519	0.000368
8535	1.507442	0.000368
7024	1.506656	0.000368
9375	1.506712	0.000368
7750	1.507268	0.000368
9124	1.507202	0.000368
7905	1.506774	0.000368
8303	1.506979	0.000368
6442	1.507055	0.000368
7767	1.506740	0.000368
7393	1.507295	0.000368
6759	1.506808	0.000368
7347	1.506878	0.000368
5451	1.507389	0.000368
7023	1.507443	0.000368
6050	1.507544	0.000368
8152	1.506701	0.000368
5205	1.507566	0.000368
6868	1.507463	0.000368
5126	1.507487	0.000368
8082	1.507436	0.000368
6171	1.507113	0.000368
8263	1.507462	0.000368
6379	1.506743	0.000368
7746	1.506442	0.000368
5381	1.507094	0.000368
9555	1.507092	0.000368
6034	1.506866	0.000368
8319	1.507023	0.000368
8433	1.507003	0.000368
5590	1.507287	0.000368
7132	1.506970	0.000368
9443	1.506527	0.000368
7363	1.507607	0.000368
7507	1.506998	0.000368
7831	1.507524	0.000368
8667	1.506512	0.000368
6567	1.507845	0.000368
7986	1.507634	0.000368
5970	1.506689	0.000368
5373	1.507649	0.000368
6282	1.506967	0.000368
7910	1.506749	0.000368
6093	1.507331	0.000368
6848	1.506910	0.000368
9944	1.506516	0.000368
7384	1.507705	0.000368
8653	1.506816	0.000368
7858	1.507125	0.000368
6214	1.507247	0.000368
9121	1.507537	0.000368
6416	1.507030	0.000368
7671	1.506900	0.000368
8552	1.506611	0.000368
5034	1.507675	0.000368
6742	1.507248	0.000368
9337	1.506862	0.000368
8122	1.506576	0.000368
7719	1.506305	0.000368
8689	1.507740	0.000368
5889	1.507251	0.000368
5181	1.507936	0.000368
6550	1.507224	0.000368
8860	1.506883	0.000368
9908	1.506780	0.000368
5776	1.507678	0.000368
8439	1.506685	0.000368
7437	1.507760	0.000368
8857	1.506989	0.000368
8374	1.506708	0.000368
5184	1.507543	0.000368
6485	1.506813	0.000368
5893	1.507102	0.000368
9708	1.507102	0.000368
6389	1.506953	0.000368
6226	1.507372	0.000368
7225	1.507129	0.000368
9338	1.507006	0.000368
7266	1.506870	0.000368
9007	1.507227	0.000368
6174	1.507778	0.000368
8196	1.507209	0.000368
8513	1.506992	0.000368
6142	1.507045	0.000368
5647	1.507252	0.000368
6284	1.506585	0.000368
8642	1.506731	0.000368
9290	1.507102	0.000368
5127	1.507312	0.000368
8044	1.506683	0.000368
7049	1.506989	0.000368
7820	1.506699	0.000368
6688	1.506891	0.000368
9183	1.506424	0.000368
6186	1.507845	0.000368
8038	1.506408	0.000368
5519	1.506897	0.000368
8566	1.506894	0.000368
9273	1.507409	0.000368
6383	1.507533	0.000368
9476	1.506535	0.000368
5193	1.507227	0.000368
5797	1.507260	0.000368
6111	1.507338	0.000368
8880	1.507462	0.000368
7320	1.507115	0.000368
5926	1.507201	0.000368
7102	1.507603	0.000368
6903	1.507446	0.000368
7413	1.507205	0.000368
7725	1.507155	0.000368
9463	1.506628	0.000368
8998	1.507146	0.000368
9334	1.507147	0.000368
8957	1.506779	0.000368
7672	1.507196	0.000368
8532	1.507132	0.000368
6907	1.508014	0.000368
7528	1.507666	0.000368
6968	1.506679	0.000368
8800	1.507140	0.000368
9024	1.506885	0.000368
8528	1.506848	0.000368
6996	1.506845	0.000368
8743	1.507001	0.000368
9536	1.507252	0.000368
8259	1.507404	0.000368
7282	1.507459	0.000368
9883	1.507464	0.000368
8807	1.506389	0.000368
8676	1.506831	0.000368
7019	1.506758	0.000368
7412	1.507512	0.000368
6608	1.507610	0.000368
8914	1.507171	0.000368
5579	1.507761	0.000368
5406	1.507766	0.000368
5836	1.506546	0.000368
5883	1.506992	0.000368
9867	1.506671	0.000368
7795	1.506626	0.000368
9509	1.506848	0.000368
9002	1.507202	0.000368
5126	1.507417	0.000368
6271	1.506651	0.000368
9387	1.506628	0.000368
5362	1.507279	0.000368
8884	1.506551	0.000368
5754	1.507264	0.000368
6474	1.505932	0.000368
7017	1.507220	0.000368
6729	1.508125	0.000368
5296	1.507295	0.000368
7002	1.507070	0.000368
7327	1.506856	0.000368
9274	1.507299	0.000368
7203	1.507336	0.000368
7280	1.506714	0.000368
9455	1.507871	0.000368
6985	1.507200	0.000368
5701	1.507021	0.000368
9881	1.507259	0.000368
6296	1.506841	0.000368
7700	1.507265	0.000368
6806	1.507345	0.000368
8342	1.506894	0.000368
7998	1.507805	0.000368
8934	1.507078	0.000368
7101	1.507084	0.000368
7537	1.506834	0.000368
7316	1.506614	0.000368
7718	1.507496	0.000368
6864	1.506801	0.000368
5793	1.507040	0.000368
7766	1.507110	0.000368
7890	1.506605	0.000368
5618	1.506807	0.000368
9097	1.506820	0.000368
8712	1.507304	0.000368
7135	1.507427	0.000368
5476	1.506746	0.000368
5870	1.506245	0.000368
8000	1.506876	0.000368
5097	1.507305	0.000368
9106	1.507009	0.000368
7708	1.507397	0.000368
5667	1.506678	0.000368
8182	1.507560	0.000368
8381	1.507310	0.000368
9724	1.507048	0.000368
6486	1.507098	0.000368
7803	1.507495	0.000368
8188	1.506065	0.000368
6516	1.507296	0.000368
7809	1.506826	0.000368
5478	1.507876	0.000368
5628	1.507787	0.000368
6890	1.507495	0.000368
6330	1.506716	0.000368
5317	1.508191	0.000368
7812	1.506852	0.000368
9325	1.507555	0.000368
5913	1.507115	0.000368
9685	1.506606	0.000368
8649	1.507011	0.000368
5104	1.507064	0.000368
7608	1.507550	0.000368
7812	1.507032	0.000368
7034	1.507212	0.000368
6114	1.507044	0.000368
7983	1.506696	0.000368
7689	1.507633	0.000368
8884	1.506551	0.000368
6493	1.506953	0.000368
6195	1.506664	0.000368
7231	1.507503	0.000368
8372	1.506857	0.000368
7014	1.507275	0.000368
8495	1.506482	0.000368
7091	1.506942	0.000368
9244	1.507237	0.000368
5848	1.507312	0.000368
8407	1.507294	0.000368
7973	1.507041	0.000368
7405	1.507081	0.000368
6685	1.506523	0.000368
8581	1.507093	0.000368
8363	1.506890	0.000368
7408	1.507614	0.000368
7455	1.506820	0.000368
7124	1.506711	0.000368
7401	1.507039	0.000368
6456	1.507003	0.000368
6442	1.506918	0.000368
8666	1.507068	0.000368
9986	1.506663	0.000368
6012	1.507625	0.000368
5071	1.506701	0.000368
9191	1.506897	0.000368
9628	1.506849	0.000368
6548	1.507152	0.000368
8107	1.507641	0.000368
8443	1.507091	0.000368
9654	1.506897	0.000368
8902	1.507327	0.000368
5120	1.507335	0.000368
8102	1.506957	0.000368
5985	1.507422	0.000368
6417	1.506910	0.000368
7638	1.506940	0.000368
8911	1.506919	0.000368
9948	1.507081	0.000368
5885	1.507376	0.000368
9131	1.506931	0.000368
6249	1.507998	0.000368
8522	1.506670	0.000368
8426	1.506760	0.000368
5116	1.507670	0.000368
5796	1.507401	0.000368
6106	1.506652	0.000368
7980	1.506328	0.000368
9315	1.507559	0.000368
6313	1.507529	0.000368
8304	1.507056	0.000368
8411	1.506966	0.000368
6618	1.507098	0.000368
9493	1.507018	0.000368
7600	1.507186	0.000368
7135	1.507278	0.000368
9340	1.506853	0.000368
8047	1.506505	0.000368
9145	1.506512	0.000368
6922	1.506894	0.000368
8624	1.506949	0.000368
6739	1.507713	0.000368
5990	1.507445	0.000368
5628	1.506970	0.000368
6625	1.506814	0.000368
9253	1.506651	0.000368
5606	1.506796	0.000368
7861	1.506687	0.000368
6995	1.507487	0.000368
5042	1.507330	0.000368
8147	1.507411	0.000368
9339	1.507555	0.000368
5609	1.507139	0.000368
5104	1.506717	0.000368
7137	1.506733	0.000368
6659	1.507128	0.000368
5412	1.507501	0.000368
9067	1.506930	0.000368
