threshold	A	u(A)
9754	1.507873	0.000368
9887	1.506578	0.000368
5612	1.506381	0.000368
6923	1.507010	0.000368
6993	1.507309	0.000368
5244	1.507495	0.000368
7729	1.508149	0.000368
6781	1.507184	0.000368
5727	1.507136	0.000368
6522	1.506800	0.000368
9327	1.507624	0.000368
8223	1.507650	0.000368
9647	1.507103	0.000368
7015	1.506684	0.000368
8911	1.507153	0.000368
7636	1.507340	0.000368
5542	1.507582	0.000368
5522	1.507658	0.000368
8046	1.506922	0.000368
8427	1.506648	0.000368
6095	1.507144	0.000368
6597	1.507428	0.000368
5407	1.507180	0.000368
8205	1.507258	0.000368
9987	1.506383	0.000368
6176	1.507410	0.000368
5836	1.507753	0.000368
7924	1.507241	0.000368
5330	1.507587	0.000368
8329	1.507763	0.000368
6238	1.506570	0.000368
7222	1.507109	0.000368
9864	1.506501	0.000368
9060	1.507682	0.000368
9897	1.506831	0.000368
9743	1.506430	0.000368
6751	1.507292	0.000368
7267	1.507804	0.000368
7041	1.507588	0.000368
6670	1.506893	0.000368
7271	1.507240	0.000368
5129	1.506725	0.000368
9018	1.506989	0.000368
7891	1.507634	0.000368
9808	1.507619	0.000368
6128	1.507508	0.000368
8780	1.506697	0.000368
6302	1.506678	0.000368
7233	1.507242	0.000368
7698	1.507109	0.000368
7374	1.506752	0.000368
8976	1.506948	0.000368
6668	1.506955	0.000368
7138	1.506727	0.000368
5919	1.507418	0.000368
6636	1.506619	0.000368
9896	1.506843	0.000368
8483	1.507166	0.000368
9066	1.506276	0.000368
5066	1.507383	0.000368
6056	1.507459	0.000368
9586	1.506422	0.000368
9999	1.506381	0.000368
7829	1.506819	0.000368
7380	1.506910	0.000368
8445	1.507213	0.000368
6487	1.506941	0.000368
6808	1.507661	0.000368
7041	1.507247	0.000368
8495	1.507269	0.000368
9162	1.507263	0.000368
7398	1.506377	0.000368
7570	1.507637	0.000368
7195	1.507269	0.000368
8847	1.506662	0.000368
8941	1.506928	0.000368
5758	1.508234	0.000368
7401	1.507003	0.000368
9016	1.507145	0.000368
6010	1.506491	0.000368
6700	1.507028	0.000368
7043	1.506402	0.000368
8828	1.506802	0.000368
6601	1.507197	0.000368
5431	1.507510	0.000368
5929	1.507339	0.000368
8076	1.506394	0.000368
7645	1.507391	0.000368
5468	1.507530	0.000368
7574	1.507194	0.000368
6641	1.507231	0.000368
8549	1.507069	0.000368
5059	1.507315	0.000368
5561	1.507367	0.000368
8737	1.506341	0.000368
7090	1.507004	0.000368
6265	1.507100	0.000368
7802	1.507046	0.000368
6935	1.507003	0.000368
9872	1.507139	0.000368
7876	1.506642	0.000368
7766	1.507760	0.000368
5742	1.506929	0.000368
9611	1.506841	0.000368
5956	1.506549	0.000368
6594	1.507230	0.000368
5886	1.507140	0.000368
9371	1.507270	0.000368
