threshold	A	u(A)
6082	1.506741	0.000368
6193	1.506603	0.000368
6275	1.508018	0.000368
6026	1.507090	0.000368
8283	1.507363	0.000368
6189	1.507463	0.000368
8428	1.507154	0.000368
7772	1.506940	0.000368
8383	1.506691	0.000368
7019	1.507206	0.000368
8147	1.507268	0.000368
8894	1.506985	0.000368
5805	1.507063	0.000368
9677	1.506926	0.000368
6989	1.507030	0.000368
5798	1.507134	0.000368
9157	1.507196	0.000368
9340	1.506663	0.000368
7944	1.506711	0.000368
7939	1.507253	0.000368
8611	1.507349	0.000368
6812	1.507272	0.000368
5144	1.507357	0.000368
5827	1.507061	0.000368
9105	1.507011	0.000368
8310	1.507387	0.000368
8753	1.507330	0.000368
6599	1.507012	0.000368
5081	1.507237	0.000368
7688	1.507382	0.000368
8011	1.507081	0.000368
6304	1.507482	0.000368
9575	1.506116	0.000368
8924	1.507229	0.000368
8941	1.506768	0.000368
5347	1.507298	0.000368
7669	1.506980	0.000368
6504	1.507365	0.000368
6612	1.507443	0.000368
5277	1.506969	0.000368
5161	1.507124	0.000368
7219	1.507569	0.000368
5639	1.507141	0.000368
8945	1.506990	0.000368
7985	1.506975	0.000368
7862	1.506871	0.000368
9877	1.506906	0.000368
7476	1.506663	0.000368
9338	1.506706	0.000368
5122	1.507622	0.000368
6214	1.507556	0.000368
6317	1.507939	0.000368
5683	1.506976	0.000368
9274	1.506821	0.000368
6059	1.507400	0.000368
6285	1.506195	0.000368
9536	1.506487	0.000368
8490	1.507047	0.000368
9317	1.507502	0.000368
6664	1.507685	0.000368
9456	1.506900	0.000368
5365	1.506643	0.000368
6777	1.507416	0.000368
7960	1.507019	0.000368
5741	1.507358	0.000368
9453	1.506827	0.000368
8708	1.507428	0.000368
5397	1.506450	0.000368
5897	1.506722	0.000368
9004	1.507264	0.000368
7345	1.507243	0.000368
7422	1.506992	0.000368
6509	1.507073	0.000368
6206	1.507131	0.000368
8082	1.506321	0.000368
8484	1.506766	0.000368
7956	1.507135	0.000368
5574	1.506971	0.000368
8380	1.507273	0.000368
6443	1.507280	0.000368
8199	1.506450	0.000368
5687	1.507312	0.000368
8105	1.507577	0.000368
9404	1.507006	0.000368
5348	1.507996	0.000368
9896	1.507234	0.000368
9361	1.506714	0.000368
9173	1.507126	0.000368
8221	1.507505	0.000368
9393	1.506818	0.000368
5930	1.507156	0.000368
8024	1.507129	0.000368
8953	1.506929	0.000368
6332	1.507491	0.000368
9817	1.506958	0.000368
7355	1.506786	0.000368
5321	1.507504	0.000368
8917	1.507621	0.000368
6013	1.507185	0.000368
5553	1.507282	0.000368
7153	1.507276	0.000368
9193	1.506588	0.000368
7924	1.506830	0.000368
8893	1.507413	0.000368
7872	1.507205	0.000368
7077	1.507371	0.000368
9682	1.506342	0.000368
9126	1.507055	0.000368
9316	1.507299	0.000368
9800	1.506899	0.000368
9866	1.507354	0.000368
9460	1.507657	0.000368
7173	1.506939	0.000368
8106	1.507391	0.000368
6954	1.506646	0.000368
5291	1.507263	0.000368
8516	1.507529	0.000368
7778	1.507102	0.000368
9112	1.506366	0.000368
8150	1.507348	0.000368
6854	1.507052	0.000368
5786	1.506734	0.000368
5891	1.507171	0.000368
5468	1.507077	0.000368
9748	1.507200	0.000368
5520	1.508177	0.000368
5073	1.507979	0.000368
8134	1.507279	0.000368
6257	1.507217	0.000368
5706	1.506592	0.000368
8583	1.506778	0.000368
5187	1.507378	0.000368
7410	1.507035	0.000368
8168	1.506933	0.000368
6969	1.506829	0.000368
6904	1.506852	0.000368
9359	1.507240	0.000368
5770	1.507165	0.000368
5932	1.507461	0.000368
7843	1.506808	0.000368
7695	1.506801	0.000368
5037	1.507962	0.000368
5325	1.507727	0.000368
7548	1.507014	0.000368
8574	1.507033	0.000368
9293	1.507110	0.000368
9684	1.506839	0.000368
5640	1.507335	0.000368
8186	1.507224	0.000368
8531	1.507049	0.000368
5292	1.507552	0.000368
5138	1.507348	0.000368
7195	1.507105	0.000368
7985	1.507191	0.000368
7314	1.507308	0.000368
9238	1.507258	0.000368
7810	1.507334	0.000368
8946	1.507187	0.000368
5476	1.507337	0.000368
5986	1.506914	0.000368
9916	1.506739	0.000368
5001	1.506690	0.000368
9472	1.506692	0.000368
7205	1.507497	0.000368
5213	1.507537	0.000368
5050	1.507415	0.000368
5613	1.507587	0.000368
9042	1.507256	0.000368
9497	1.506413	0.000368
8329	1.507242	0.000368
6992	1.506840	0.000368
5124	1.507379	0.000368
9303	1.507131	0.000368
9082	1.506993	0.000368
6671	1.507356	0.000368
9890	1.507722	0.000368
