threshold	A	u(A)
5908	1.507308	0.000368
9686	1.507308	0.000368
8468	1.508236	0.000368
6883	1.507238	0.000368
7534	1.506784	0.000368
8145	1.506519	0.000368
5058	1.506758	0.000368
8545	1.507548	0.000368
6780	1.506550	0.000368
7707	1.506482	0.000368
8743	1.506852	0.000368
5344	1.507770	0.000368
6774	1.506762	0.000368
7810	1.506671	0.000368
9157	1.506895	0.000368
8874	1.506310	0.000368
7994	1.507051	0.000368
7959	1.506537	0.000368
9199	1.507032	0.000368
6912	1.507306	0.000368
9822	1.507309	0.000368
8994	1.507178	0.000368
7448	1.507484	0.000368
9690	1.506525	0.000368
8038	1.507092	0.000368
9003	1.506897	0.000368
9522	1.506812	0.000368
6762	1.507116	0.000368
6211	1.506464	0.000368
5045	1.507057	0.000368
9791	1.506973	0.000368
9405	1.507342	0.000368
9460	1.506785	0.000368
9971	1.506452	0.000368
6081	1.507593	0.000368
7848	1.506491	0.000368
8359	1.507280	0.000368
5895	1.507387	0.000368
5608	1.507017	0.000368
6017	1.507622	0.000368
7349	1.506730	0.000368
7804	1.506652	0.000368
6868	1.507197	0.000368
6852	1.507340	0.000368
8954	1.507760	0.000368
9286	1.506615	0.000368
8575	1.506946	0.000368
6849	1.506561	0.000368
5495	1.507066	0.000368
7977	1.506620	0.000368
9607	1.506866	0.000368
7764	1.507413	0.000368
7420	1.507281	0.000368
8913	1.507102	0.000368
7108	1.506699	0.000368
7090	1.506756	0.000368
8066	1.506319	0.000368
6647	1.507612	0.000368
7271	1.507764	0.000368
6831	1.507686	0.000368
6091	1.506787	0.000368
6316	1.507559	0.000368
5942	1.506897	0.000368
5212	1.507401	0.000368
7007	1.506726	0.000368
6458	1.506508	0.000368
7368	1.506540	0.000368
5466	1.506627	0.000368
8264	1.506682	0.000368
9148	1.507291	0.000368
7686	1.507298	0.000368
6195	1.507425	0.000368
6716	1.506696	0.000368
6494	1.507011	0.000368
8799	1.507055	0.000368
9984	1.507028	0.000368
9105	1.506733	0.000368
9232	1.506639	0.000368
7978	1.506786	0.000368
8730	1.507585	0.000368
5223	1.507145	0.000368
9167	1.506917	0.000368
9742	1.507163	0.000368
7065	1.507355	0.000368
9088	1.506934	0.000368
9934	1.507089	0.000368
8789	1.506840	0.000368
9529	1.507778	0.000368
5899	1.507035	0.000368
8388	1.507170	0.000368
9536	1.507295	0.000368
7410	1.506871	0.000368
9841	1.506918	0.000368
9725	1.506759	0.000368
8073	1.507102	0.000368
8687	1.507027	0.000368
5461	1.507092	0.000368
7468	1.507017	0.000368
9956	1.507084	0.000368
9743	1.507012	0.000368
6555	1.507049	0.000368
7073	1.507505	0.000368
7492	1.506993	0.000368
5951	1.507145	0.000368
5891	1.506672	0.000368
5222	1.507530	0.000368
9260	1.506726	0.000368
7227	1.506653	0.000368
6368	1.506774	0.000368
8984	1.506385	0.000368
7021	1.506765	0.000368
8561	1.506645	0.000368
6756	1.507104	0.000368
7468	1.507063	0.000368
8151	1.506864	0.000368
6893	1.507337	0.000368
6957	1.506915	0.000368
6690	1.506714	0.000368
7368	1.507299	0.000368
9269	1.507047	0.000368
9908	1.507038	0.000368
8664	1.507220	0.000368
5112	1.507535	0.000368
5695	1.507524	0.000368
8537	1.506575	0.000368
5206	1.506701	0.000368
8226	1.507584	0.000368
9380	1.507257	0.000368
6320	1.507537	0.000368
8089	1.507170	0.000368
5675	1.506903	0.000368
5658	1.507334	0.000368
7307	1.507411	0.000368
9839	1.506851	0.000368
7184	1.507159	0.000368
7244	1.507031	0.000368
8852	1.506890	0.000368
9417	1.506773	0.000368
9688	1.506833	0.000368
5569	1.507517	0.000368
5489	1.506871	0.000368
9195	1.506366	0.000368
7514	1.506789	0.000368
9060	1.506969	0.000368
6989	1.507088	0.000368
6054	1.507148	0.000368
8413	1.507102	0.000368
6586	1.507637	0.000368
5949	1.506610	0.000368
8158	1.507021	0.000368
7955	1.507511	0.000368
9572	1.507257	0.000368
8447	1.507490	0.000368
6010	1.506777	0.000368
9864	1.506852	0.000368
6419	1.506940	0.000368
7190	1.507202	0.000368
7131	1.507295	0.000368
5035	1.506808	0.000368
5631	1.506920	0.000368
6395	1.506610	0.000368
5448	1.507043	0.000368
5584	1.507615	0.000368
5689	1.507345	0.000368
8731	1.506326	0.000368
9491	1.505952	0.000368
7163	1.506471	0.000368
7918	1.507108	0.000368
8111	1.506064	0.000368
