threshold	A	u(A)
7465	1.507047	0.000368
6685	1.507641	0.000368
9543	1.506980	0.000368
6411	1.507116	0.000368
9079	1.506882	0.000368
8127	1.507188	0.000368
8225	1.507069	0.000368
7453	1.506994	0.000368
6852	1.507210	0.000368
5977	1.507566	0.000368
5795	1.507565	0.000368
7285	1.507071	0.000368
5936	1.507468	0.000368
8706	1.506950	0.000368
7003	1.507048	0.000368
5047	1.507298	0.000368
5811	1.506609	0.000368
9324	1.506470	0.000368
5126	1.506576	0.000368
7057	1.507318	0.000368
7764	1.507141	0.000368
6723	1.507168	0.000368
6933	1.507196	0.000368
9765	1.506840	0.000368
8193	1.506903	0.000368
9304	1.507535	0.000368
9639	1.507410	0.000368
8117	1.506867	0.000368
8928	1.506983	0.000368
7079	1.506881	0.000368
5287	1.507068	0.000368
5676	1.506594	0.000368
5751	1.507330	0.000368
9890	1.506806	0.000368
8548	1.507334	0.000368
5232	1.507692	0.000368
6202	1.506962	0.000368
9455	1.507639	0.000368
7061	1.507077	0.000368
9963	1.506943	0.000368
7977	1.506329	0.000368
6028	1.507059	0.000368
8792	1.507125	0.000368
7776	1.507020	0.000368
8238	1.506834	0.000368
6520	1.506492	0.000368
7224	1.507146	0.000368
8481	1.506938	0.000368
7030	1.507483	0.000368
5185	1.506813	0.000368
9561	1.507220	0.000368
9200	1.506577	0.000368
7077	1.506990	0.000368
5157	1.507455	0.000368
5978	1.507453	0.000368
9915	1.506021	0.000368
8255	1.506727	0.000368
9958	1.506567	0.000368
6589	1.506947	0.000368
5901	1.507413	0.000368
7667	1.506853	0.000368
8628	1.507306	0.000368
7951	1.506973	0.000368
6681	1.507887	0.000368
8596	1.506886	0.000368
6050	1.506590	0.000368
6788	1.506996	0.000368
9201	1.506879	0.000368
9190	1.506678	0.000368
7565	1.507212	0.000368
9033	1.507095	0.000368
8195	1.506805	0.000368
8561	1.506857	0.000368
7646	1.507424	0.000368
6704	1.507127	0.000368
5413	1.506642	0.000368
5876	1.506947	0.000368
6012	1.506938	0.000368
7192	1.506996	0.000368
7813	1.507316	0.000368
6640	1.507039	0.000368
5886	1.507078	0.000368
5526	1.507938	0.000368
5165	1.506741	0.000368
8782	1.506893	0.000368
5825	1.507180	0.000368
8585	1.507098	0.000368
8560	1.506726	0.000368
7947	1.507440	0.000368
8853	1.506868	0.000368
5471	1.507426	0.000368
5827	1.506943	0.000368
9906	1.506632	0.000368
6771	1.507682	0.000368
8839	1.506754	0.000368
9562	1.506835	0.000368
7338	1.507732	0.000368
5017	1.507015	0.000368
6868	1.507593	0.000368
5255	1.506939	0.000368
8803	1.506911	0.000368
9031	1.506019	0.000368
5056	1.507327	0.000368
8076	1.506859	0.000368
5108	1.507618	0.000368
8595	1.506645	0.000368
8995	1.506337	0.000368
7335	1.507091	0.000368
6987	1.507246	0.000368
9885	1.507766	0.000368
5527	1.507487	0.000368
7713	1.506956	0.000368
5943	1.507771	0.000368
8518	1.507260	0.000368
7451	1.507207	0.000368
8338	1.506836	0.000368
8032	1.506720	0.000368
8099	1.507352	0.000368
6890	1.506568	0.000368
8265	1.506948	0.000368
9481	1.506485	0.000368
5952	1.507309	0.000368
5096	1.507270	0.000368
8201	1.506983	0.000368
7231	1.507059	0.000368
8871	1.506566	0.000368
8296	1.507284	0.000368
6371	1.507602	0.000368
6754	1.506905	0.000368
8822	1.506711	0.000368
9643	1.506967	0.000368
6468	1.507028	0.000368
9953	1.507149	0.000368
5049	1.507339	0.000368
8989	1.507184	0.000368
9688	1.506984	0.000368
6496	1.506447	0.000368
6403	1.506910	0.000368
9296	1.507338	0.000368
8385	1.506789	0.000368
6616	1.506869	0.000368
8127	1.506324	0.000368
8768	1.506987	0.000368
5590	1.506986	0.000368
7295	1.507592	0.000368
6440	1.506526	0.000368
8334	1.507899	0.000368
9173	1.506702	0.000368
8446	1.507857	0.000368
9945	1.506524	0.000368
8904	1.506518	0.000368
6846	1.507564	0.000368
5768	1.506951	0.000368
5229	1.507792	0.000368
7272	1.507394	0.000368
8304	1.507590	0.000368
9091	1.507140	0.000368
7748	1.506754	0.000368
7331	1.507070	0.000368
9092	1.506687	0.000368
6152	1.506862	0.000368
5061	1.506786	0.000368
7668	1.507430	0.000368
9421	1.506454	0.000368
5086	1.507418	0.000368
6876	1.507054	0.000368
6155	1.507457	0.000368
9519	1.506883	0.000368
9129	1.506892	0.000368
7401	1.507620	0.000368
6424	1.507048	0.000368
6573	1.507418	0.000368
6049	1.506918	0.000368
9054	1.506294	0.000368
7333	1.507347	0.000368
8397	1.507078	0.000368
5161	1.506835	0.000368
6031	1.507419	0.000368
7129	1.507078	0.000368
8972	1.507045	0.000368
7750	1.506608	0.000368
6743	1.506990	0.000368
5072	1.507101	0.000368
6050	1.506915	0.000368
8434	1.506858	0.000368
5975	1.506125	0.000368
7654	1.506135	0.000368
6903	1.506827	0.000368
9394	1.507436	0.000368
5126	1.507052	0.000368
7315	1.507483	0.000368
7225	1.507471	0.000368
7399	1.507039	0.000368
6133	1.507056	0.000368
8896	1.506122	0.000368
6121	1.507966	0.000368
9868	1.507356	0.000368
9008	1.506006	0.000368
7014	1.507035	0.000368
8410	1.506747	0.000368
7421	1.506765	0.000368
5689	1.507457	0.000368
6527	1.506761	0.000368
6646	1.506526	0.000368
6870	1.507571	0.000368
5827	1.507347	0.000368
5790	1.506252	0.000368
8587	1.506373	0.000368
7870	1.506679	0.000368
5933	1.507181	0.000368
7893	1.506726	0.000368
6306	1.507044	0.000368
7854	1.507620	0.000368
5574	1.507929	0.000368
8620	1.506351	0.000368
5233	1.507403	0.000368
6969	1.506774	0.000368
5961	1.507094	0.000368
6053	1.507159	0.000368
8830	1.506986	0.000368
7854	1.506366	0.000368
