threshold	A	u(A)
10000	1.507044	0.002602
10500	1.506942	0.002602
11000	1.508436	0.002603
11500	1.507764	0.002603
12000	1.506618	0.002602
12500	1.506384	0.002602
13000	1.508676	0.002603
13500	1.507110	0.002602
14000	1.507512	0.002602
14500	1.505160	0.002601
15000	1.504410	0.002601
15500	1.506300	0.002602
16000	1.505178	0.002601
16500	1.510428	0.002604
17000	1.512102	0.002605
17500	1.509324	0.002603
18000	1.508214	0.002603
18500	1.506174	0.002602
19000	1.508052	0.002603
19500	1.508676	0.002603
20000	1.511994	0.002605
20500	1.504560	0.002601
21000	1.500516	0.002598
21500	1.513152	0.002606
22000	1.501632	0.002599
22500	1.508610	0.002603
23000	1.505916	0.002601
23500	1.508160	0.002603
24000	1.507140	0.002602
24500	1.500072	0.002598
25000	1.509978	0.002604
25500	1.509978	0.002604
26000	1.500900	0.002599
26500	1.505994	0.002602
27000	1.509066	0.002603
27500	1.506966	0.002602
28000	1.510224	0.002604
28500	1.509408	0.002603
29000	1.509264	0.002603
29500	1.506252	0.002602
30000	1.508220	0.002603
30500	1.507962	0.002603
31000	1.506330	0.002602
31500	1.505808	0.002601
32000	1.508778	0.002603
32500	1.506870	0.002602
33000	1.505628	0.002601
33500	1.504158	0.002600
34000	1.502826	0.002600
34500	1.504500	0.002601
35000	1.509966	0.002604
35500	1.506012	0.002602
36000	1.505472	0.002601
36500	1.503744	0.002600
37000	1.508358	0.002603
37500	1.507662	0.002602
38000	1.508238	0.002603
38500	1.512174	0.002605
39000	1.512642	0.002605
39500	1.505868	0.002601
