threshold	A	u(A)
7659	1.507260	0.000368
9057	1.507093	0.000368
8678	1.506939	0.000368
5832	1.507354	0.000368
5812	1.506700	0.000368
6595	1.506694	0.000368
6175	1.507005	0.000368
5883	1.507479	0.000368
5576	1.507415	0.000368
7745	1.506805	0.000368
6099	1.506921	0.000368
7844	1.506601	0.000368
8541	1.506869	0.000368
8361	1.507393	0.000368
9595	1.506677	0.000368
7694	1.506857	0.000368
8749	1.507251	0.000368
5945	1.507474	0.000368
7827	1.507545	0.000368
7601	1.507059	0.000368
9430	1.507344	0.000368
5784	1.507523	0.000368
5649	1.506836	0.000368
6844	1.507113	0.000368
6689	1.506793	0.000368
5658	1.506765	0.000368
5575	1.507815	0.000368
7236	1.506652	0.000368
9960	1.507315	0.000368
7020	1.507519	0.000368
7119	1.507217	0.000368
5063	1.507592	0.000368
9431	1.506841	0.000368
9252	1.507359	0.000368
5013	1.507284	0.000368
5463	1.507190	0.000368
7715	1.506964	0.000368
8691	1.507413	0.000368
9890	1.506985	0.000368
9795	1.507330	0.000368
5190	1.507431	0.000368
5509	1.507191	0.000368
6498	1.507609	0.000368
6559	1.507337	0.000368
7397	1.507207	0.000368
8129	1.506803	0.000368
7526	1.506931	0.000368
7340	1.507098	0.000368
9777	1.506726	0.000368
8068	1.506735	0.000368
7170	1.507034	0.000368
9079	1.506936	0.000368
7250	1.507282	0.000368
6335	1.507474	0.000368
8384	1.506975	0.000368
8366	1.507007	0.000368
5782	1.507631	0.000368
6271	1.506735	0.000368
9240	1.507299	0.000368
5382	1.507310	0.000368
9287	1.506507	0.000368
7385	1.507786	0.000368
9760	1.506857	0.000368
6068	1.507333	0.000368
5803	1.506893	0.000368
6996	1.507673	0.000368
5208	1.507271	0.000368
6523	1.507470	0.000368
5255	1.507475	0.000368
5459	1.507566	0.000368
7724	1.506471	0.000368
9351	1.506306	0.000368
8519	1.506251	0.000368
9930	1.507736	0.000368
9736	1.507576	0.000368
6056	1.507510	0.000368
8188	1.506798	0.000368
6108	1.507432	0.000368
7019	1.507195	0.000368
7965	1.507061	0.000368
9471	1.506225	0.000368
9055	1.506926	0.000368
9090	1.507114	0.000368
9736	1.506982	0.000368
9504	1.507099	0.000368
8396	1.507346	0.000368
6591	1.507292	0.000368
6835	1.507692	0.000368
5786	1.507313	0.000368
5007	1.506909	0.000368
5245	1.506797	0.000368
5982	1.506736	0.000368
8096	1.507483	0.000368
6811	1.507325	0.000368
9422	1.507209	0.000368
8303	1.507150	0.000368
7914	1.506791	0.000368
7380	1.506790	0.000368
5226	1.507455	0.000368
9822	1.507115	0.000368
8349	1.507649	0.000368
9514	1.507468	0.000368
6319	1.507433	0.000368
7219	1.506828	0.000368
7418	1.506662	0.000368
7542	1.506953	0.000368
7564	1.507391	0.000368
5744	1.507324	0.000368
6028	1.507038	0.000368
6887	1.507435	0.000368
9521	1.506254	0.000368
8124	1.506904	0.000368
5024	1.506992	0.000368
6768	1.507071	0.000368
5615	1.507680	0.000368
7820	1.506381	0.000368
5645	1.506967	0.000368
8284	1.506952	0.000368
8701	1.507078	0.000368
5185	1.507062	0.000368
8582	1.507095	0.000368
6024	1.506988	0.000368
7270	1.507656	0.000368
8287	1.506274	0.000368
8983	1.506891	0.000368
6286	1.506932	0.000368
8592	1.506691	0.000368
6584	1.506943	0.000368
9725	1.507110	0.000368
6405	1.507103	0.000368
9509	1.507325	0.000368
6448	1.506755	0.000368
5852	1.506321	0.000368
6984	1.507149	0.000368
9322	1.507356	0.000368
8404	1.506668	0.000368
7704	1.506860	0.000368
6733	1.506980	0.000368
7355	1.506914	0.000368
8608	1.507119	0.000368
6816	1.506846	0.000368
6853	1.507549	0.000368
9696	1.506511	0.000368
5014	1.506915	0.000368
7187	1.507506	0.000368
5313	1.507054	0.000368
5622	1.506821	0.000368
8674	1.507064	0.000368
5746	1.507594	0.000368
6992	1.507296	0.000368
9350	1.506466	0.000368
5466	1.507969	0.000368
9713	1.507147	0.000368
7618	1.507033	0.000368
5114	1.506909	0.000368
7943	1.507669	0.000368
8089	1.507131	0.000368
7054	1.507446	0.000368
5365	1.506908	0.000368
6305	1.506908	0.000368
7232	1.506933	0.000368
9600	1.506420	0.000368
9665	1.506665	0.000368
8362	1.507257	0.000368
9686	1.507306	0.000368
9809	1.507277	0.000368
7343	1.507315	0.000368
9575	1.507301	0.000368
8292	1.506706	0.000368
7698	1.506356	0.000368
9219	1.506716	0.000368
5176	1.507964	0.000368
9721	1.506865	0.000368
6309	1.507434	0.000368
9008	1.507327	0.000368
6105	1.507414	0.000368
5680	1.507316	0.000368
7483	1.506943	0.000368
7199	1.507125	0.000368
6783	1.507347	0.000368
8356	1.506864	0.000368
5862	1.507620	0.000368
9912	1.506796	0.000368
6386	1.507269	0.000368
8034	1.507202	0.000368
7989	1.507744	0.000368
8364	1.507102	0.000368
9786	1.506027	0.000368
7544	1.507448	0.000368
6211	1.507734	0.000368
8006	1.506658	0.000368
8606	1.507182	0.000368
6947	1.506696	0.000368
7490	1.507244	0.000368
7030	1.507529	0.000368
6449	1.507322	0.000368
7985	1.506561	0.000368
5689	1.507189	0.000368
7386	1.506646	0.000368
5244	1.507051	0.000368
9896	1.507175	0.000368
8227	1.506942	0.000368
9474	1.506792	0.000368
9071	1.507360	0.000368
9698	1.507051	0.000368
9401	1.506824	0.000368
6308	1.506612	0.000368
7064	1.507171	0.000368
7128	1.507402	0.000368
5287	1.507256	0.000368
9333	1.506813	0.000368
9526	1.506665	0.000368
8871	1.507397	0.000368
5178	1.507553	0.000368
9638	1.506897	0.000368
9273	1.506927	0.000368
6693	1.507273	0.000368
6546	1.507313	0.000368
7613	1.507293	0.000368
7648	1.507257	0.000368
9789	1.507210	0.000368
5892	1.507155	0.000368
8507	1.506831	0.000368
6173	1.507353	0.000368
9942	1.506594	0.000368
