threshold	A	u(A)
7382	1.506687	0.000368
5009	1.507350	0.000368
6142	1.507262	0.000368
7247	1.506689	0.000368
5889	1.506771	0.000368
7036	1.506448	0.000368
7712	1.506933	0.000368
8064	1.507521	0.000368
9736	1.506926	0.000368
6671	1.507557	0.000368
9112	1.507368	0.000368
6344	1.507127	0.000368
5173	1.507588	0.000368
7273	1.506681	0.000368
9865	1.507062	0.000368
5422	1.507312	0.000368
8791	1.507135	0.000368
5596	1.507640	0.000368
6969	1.507405	0.000368
5965	1.507549	0.000368
5111	1.507003	0.000368
9324	1.506671	0.000368
7921	1.506798	0.000368
9547	1.507279	0.000368
7866	1.507058	0.000368
9602	1.506654	0.000368
8551	1.506485	0.000368
8668	1.507186	0.000368
8522	1.507164	0.000368
8915	1.506583	0.000368
5392	1.506757	0.000368
8859	1.507176	0.000368
7221	1.506813	0.000368
9404	1.506502	0.000368
6075	1.506750	0.000368
8121	1.507337	0.000368
5271	1.507197	0.000368
5265	1.507186	0.000368
5596	1.507146	0.000368
7806	1.507048	0.000368
8872	1.506845	0.000368
5868	1.506489	0.000368
5224	1.506770	0.000368
6481	1.508002	0.000368
8938	1.507196	0.000368
7167	1.507056	0.000368
9375	1.507297	0.000368
6801	1.506955	0.000368
5643	1.507018	0.000368
5790	1.506652	0.000368
9527	1.507462	0.000368
9879	1.506839	0.000368
5333	1.507062	0.000368
9309	1.506371	0.000368
8981	1.506970	0.000368
9275	1.506905	0.000368
7599	1.507393	0.000368
9379	1.507226	0.000368
7990	1.506783	0.000368
5326	1.507614	0.000368
5829	1.507147	0.000368
9855	1.506238	0.000368
8821	1.506638	0.000368
5694	1.507641	0.000368
5792	1.507743	0.000368
5557	1.507873	0.000368
8579	1.507210	0.000368
5829	1.507230	0.000368
8637	1.506241	0.000368
7237	1.507068	0.000368
5310	1.506904	0.000368
7699	1.507241	0.000368
5153	1.507306	0.000368
6444	1.507398	0.000368
6876	1.507213	0.000368
9885	1.506740	0.000368
7292	1.506490	0.000368
8251	1.506430	0.000368
6510	1.506446	0.000368
6325	1.506800	0.000368
8510	1.506836	0.000368
8715	1.506774	0.000368
6630	1.507070	0.000368
7068	1.507191	0.000368
8996	1.507198	0.000368
6430	1.506513	0.000368
7454	1.507438	0.000368
6820	1.507164	0.000368
6555	1.507203	0.000368
6407	1.507174	0.000368
6782	1.506465	0.000368
7332	1.506739	0.000368
9558	1.506433	0.000368
8785	1.505904	0.000368
8967	1.506909	0.000368
6602	1.506580	0.000368
5795	1.507171	0.000368
5614	1.506301	0.000368
7765	1.507589	0.000368
9165	1.506500	0.000368
8036	1.506798	0.000368
9834	1.506885	0.000368
8468	1.506378	0.000368
5088	1.507560	0.000368
9911	1.506557	0.000368
9640	1.506731	0.000368
7443	1.507879	0.000368
6258	1.507205	0.000368
7772	1.506886	0.000368
9092	1.507537	0.000368
6830	1.507258	0.000368
8508	1.506493	0.000368
6033	1.506756	0.000368
5465	1.507522	0.000368
5810	1.507290	0.000368
6780	1.506964	0.000368
5529	1.506878	0.000368
9760	1.506759	0.000368
9560	1.506667	0.000368
5916	1.507335	0.000368
6418	1.507250	0.000368
9909	1.506720	0.000368
7142	1.506681	0.000368
8206	1.507479	0.000368
5301	1.507380	0.000368
6429	1.507470	0.000368
6581	1.507331	0.000368
8531	1.506678	0.000368
7476	1.506698	0.000368
9178	1.506889	0.000368
8923	1.507148	0.000368
5763	1.506647	0.000368
6268	1.507239	0.000368
9080	1.506897	0.000368
6645	1.506244	0.000368
5954	1.506690	0.000368
8762	1.506345	0.000368
8741	1.507156	0.000368
7460	1.506644	0.000368
9084	1.506503	0.000368
7514	1.506985	0.000368
9123	1.507017	0.000368
5072	1.508012	0.000368
9856	1.506746	0.000368
5144	1.507563	0.000368
6349	1.506847	0.000368
9668	1.507054	0.000368
8324	1.506808	0.000368
9756	1.507530	0.000368
6371	1.507303	0.000368
8295	1.507005	0.000368
5760	1.506997	0.000368
9092	1.507414	0.000368
8894	1.506855	0.000368
7377	1.506147	0.000368
8984	1.506797	0.000368
5239	1.507882	0.000368
7002	1.506606	0.000368
9335	1.507082	0.000368
8829	1.506729	0.000368
7439	1.507044	0.000368
6412	1.507962	0.000368
5125	1.507494	0.000368
6617	1.506735	0.000368
6610	1.508109	0.000368
5364	1.506626	0.000368
5980	1.508023	0.000368
9858	1.506810	0.000368
9759	1.507282	0.000368
6056	1.507208	0.000368
6214	1.506860	0.000368
7572	1.506189	0.000368
9819	1.506918	0.000368
9433	1.506541	0.000368
9731	1.506892	0.000368
8478	1.507079	0.000368
8185	1.506761	0.000368
7092	1.506039	0.000368
8259	1.506837	0.000368
6605	1.507227	0.000368
5673	1.507118	0.000368
8018	1.507523	0.000368
7725	1.507629	0.000368
5053	1.507960	0.000368
8248	1.506064	0.000368
6886	1.507010	0.000368
7951	1.507088	0.000368
8170	1.507071	0.000368
9432	1.507237	0.000368
7611	1.507502	0.000368
7891	1.507244	0.000368
9778	1.507708	0.000368
9711	1.506614	0.000368
9789	1.507125	0.000368
9109	1.506677	0.000368
6407	1.507020	0.000368
5648	1.506780	0.000368
8450	1.506457	0.000368
9741	1.506576	0.000368
7403	1.506467	0.000368
7684	1.506776	0.000368
7294	1.506515	0.000368
5810	1.507524	0.000368
8530	1.506614	0.000368
7056	1.507589	0.000368
9725	1.506359	0.000368
5010	1.507275	0.000368
9273	1.506893	0.000368
9155	1.506631	0.000368
5040	1.507482	0.000368
7558	1.507080	0.000368
5875	1.506811	0.000368
7625	1.506871	0.000368
7030	1.507299	0.000368
