threshold	A	u(A)
8797	1.507344	0.000368
8423	1.507212	0.000368
6573	1.507268	0.000368
9762	1.506759	0.000368
7376	1.506491	0.000368
8589	1.507125	0.000368
9941	1.507143	0.000368
9552	1.506653	0.000368
7436	1.506683	0.000368
7202	1.507392	0.000368
5047	1.507169	0.000368
5372	1.506809	0.000368
6508	1.506880	0.000368
7834	1.506825	0.000368
6729	1.506959	0.000368
8940	1.506679	0.000368
5829	1.507298	0.000368
8225	1.506639	0.000368
9552	1.506910	0.000368
9591	1.506578	0.000368
6764	1.506905	0.000368
9104	1.507298	0.000368
8261	1.507377	0.000368
5652	1.506489	0.000368
5266	1.507815	0.000368
6907	1.507193	0.000368
5008	1.507001	0.000368
6878	1.506992	0.000368
8476	1.507795	0.000368
9640	1.507447	0.000368
6440	1.507470	0.000368
9299	1.506903	0.000368
5106	1.507552	0.000368
5461	1.507245	0.000368
9481	1.506407	0.000368
7862	1.506782	0.000368
6287	1.506805	0.000368
9546	1.507090	0.000368
6222	1.506982	0.000368
9179	1.506573	0.000368
8144	1.507519	0.000368
6548	1.507293	0.000368
7757	1.507802	0.000368
9124	1.506414	0.000368
6264	1.506846	0.000368
9374	1.506833	0.000368
8225	1.506664	0.000368
7806	1.507265	0.000368
8102	1.506625	0.000368
8050	1.507232	0.000368
6786	1.507252	0.000368
6025	1.506492	0.000368
7967	1.507276	0.000368
9199	1.506757	0.000368
5862	1.506448	0.000368
7362	1.506951	0.000368
8463	1.506996	0.000368
8435	1.507454	0.000368
8772	1.507051	0.000368
