threshold	A	u(A)
5636	1.507617	0.000368
6487	1.507475	0.000368
6174	1.506672	0.000368
9654	1.506903	0.000368
6524	1.507170	0.000368
9564	1.506479	0.000368
7268	1.507515	0.000368
6470	1.506552	0.000368
5170	1.507009	0.000368
9086	1.507218	0.000368
5282	1.506889	0.000368
7175	1.507158	0.000368
5608	1.507162	0.000368
5562	1.507550	0.000368
5479	1.507575	0.000368
9642	1.506628	0.000368
9967	1.506577	0.000368
5607	1.507133	0.000368
7537	1.507230	0.000368
8205	1.507167	0.000368
5055	1.506823	0.000368
5641	1.507532	0.000368
7893	1.507638	0.000368
9821	1.506878	0.000368
7828	1.506978	0.000368
8966	1.506282	0.000368
5667	1.507053	0.000368
8583	1.506911	0.000368
8408	1.507266	0.000368
9862	1.506251	0.000368
9817	1.506964	0.000368
5313	1.506942	0.000368
9654	1.506441	0.000368
6838	1.507036	0.000368
6176	1.507052	0.000368
9699	1.506574	0.000368
8125	1.507199	0.000368
5450	1.506891	0.000368
7864	1.506876	0.000368
6597	1.506897	0.000368
8495	1.506914	0.000368
5181	1.506629	0.000368
8751	1.507180	0.000368
6051	1.506730	0.000368
6814	1.507214	0.000368
8346	1.507289	0.000368
8649	1.506872	0.000368
6853	1.506740	0.000368
6158	1.506914	0.000368
5014	1.506360	0.000368
8833	1.507258	0.000368
5373	1.507643	0.000368
6446	1.507094	0.000368
6214	1.507137	0.000368
9532	1.507217	0.000368
6139	1.507118	0.000368
6374	1.507044	0.000368
6750	1.506526	0.000368
8988	1.507213	0.000368
9995	1.506708	0.000368
8901	1.507553	0.000368
8257	1.507446	0.000368
9491	1.506828	0.000368
9504	1.507091	0.000368
7247	1.506873	0.000368
6230	1.507265	0.000368
5971	1.506683	0.000368
9393	1.507532	0.000368
7208	1.507538	0.000368
8660	1.507109	0.000368
7433	1.507384	0.000368
5256	1.507784	0.000368
8337	1.507081	0.000368
9639	1.506555	0.000368
5818	1.507448	0.000368
9252	1.507473	0.000368
7444	1.506948	0.000368
5141	1.507528	0.000368
6099	1.506825	0.000368
6340	1.506942	0.000368
8822	1.506809	0.000368
5782	1.506930	0.000368
5563	1.507207	0.000368
6368	1.507015	0.000368
8655	1.507458	0.000368
6944	1.507700	0.000368
5749	1.507013	0.000368
8532	1.506614	0.000368
9691	1.507341	0.000368
5465	1.507344	0.000368
7421	1.506665	0.000368
9223	1.506909	0.000368
8188	1.506789	0.000368
7255	1.506906	0.000368
7757	1.507595	0.000368
5335	1.507230	0.000368
7686	1.507650	0.000368
5113	1.506674	0.000368
8517	1.507161	0.000368
9403	1.506479	0.000368
7950	1.507108	0.000368
9679	1.506828	0.000368
9662	1.506213	0.000368
5223	1.507706	0.000368
7602	1.507279	0.000368
9037	1.507350	0.000368
6369	1.506694	0.000368
8337	1.506887	0.000368
5198	1.507101	0.000368
9964	1.507068	0.000368
7123	1.508022	0.000368
7503	1.507366	0.000368
7671	1.507007	0.000368
6940	1.507191	0.000368
7884	1.507734	0.000368
9342	1.506998	0.000368
9360	1.507186	0.000368
6116	1.507586	0.000368
7517	1.507238	0.000368
8504	1.507394	0.000368
5572	1.507474	0.000368
7363	1.506617	0.000368
9687	1.506790	0.000368
8626	1.506932	0.000368
9341	1.506231	0.000368
6154	1.507930	0.000368
7960	1.507107	0.000368
7193	1.507365	0.000368
9335	1.506571	0.000368
5574	1.507048	0.000368
7735	1.507363	0.000368
9904	1.506991	0.000368
7668	1.506959	0.000368
6176	1.506585	0.000368
7161	1.507512	0.000368
6009	1.507177	0.000368
8377	1.507754	0.000368
7913	1.507310	0.000368
8199	1.506800	0.000368
6946	1.508097	0.000368
9583	1.506703	0.000368
5045	1.507271	0.000368
7699	1.507108	0.000368
6948	1.506805	0.000368
8087	1.507278	0.000368
8421	1.507019	0.000368
7782	1.507242	0.000368
7125	1.507021	0.000368
6952	1.507403	0.000368
8878	1.507209	0.000368
5988	1.507015	0.000368
7877	1.506297	0.000368
6654	1.507506	0.000368
5899	1.506937	0.000368
5962	1.506745	0.000368
8688	1.506284	0.000368
5908	1.507479	0.000368
