threshold	A	u(A)
5966	1.507518	0.000368
7809	1.507146	0.000368
5759	1.506812	0.000368
6725	1.507123	0.000368
7679	1.507469	0.000368
5066	1.507126	0.000368
9960	1.506405	0.000368
9890	1.506118	0.000368
7587	1.507228	0.000368
7911	1.506902	0.000368
9273	1.506688	0.000368
7506	1.506786	0.000368
5275	1.506818	0.000368
8722	1.506404	0.000368
9564	1.507578	0.000368
6215	1.507131	0.000368
7494	1.507376	0.000368
9694	1.506980	0.000368
7587	1.507176	0.000368
9890	1.506981	0.000368
7862	1.506944	0.000368
9350	1.506007	0.000368
9503	1.507326	0.000368
8836	1.506594	0.000368
9606	1.507340	0.000368
7101	1.507322	0.000368
6611	1.507386	0.000368
7735	1.507402	0.000368
8323	1.506510	0.000368
7725	1.506699	0.000368
8133	1.506929	0.000368
9842	1.506951	0.000368
7426	1.506920	0.000368
7143	1.506625	0.000368
9290	1.507127	0.000368
6625	1.507373	0.000368
7391	1.506729	0.000368
6268	1.507080	0.000368
5227	1.506768	0.000368
6142	1.506985	0.000368
7375	1.507128	0.000368
9848	1.506576	0.000368
7049	1.506868	0.000368
7634	1.507591	0.000368
5389	1.507304	0.000368
7420	1.507023	0.000368
8949	1.507362	0.000368
6015	1.507244	0.000368
7475	1.507330	0.000368
6979	1.506656	0.000368
8058	1.507512	0.000368
8904	1.507189	0.000368
5201	1.506592	0.000368
8507	1.506792	0.000368
5546	1.507828	0.000368
5510	1.507031	0.000368
9557	1.507255	0.000368
7823	1.507848	0.000368
5420	1.507440	0.000368
9920	1.506727	0.000368
8910	1.507032	0.000368
5710	1.507360	0.000368
9746	1.507311	0.000368
6857	1.506736	0.000368
9005	1.506867	0.000368
8397	1.506775	0.000368
8755	1.507491	0.000368
9217	1.507021	0.000368
9872	1.506994	0.000368
8657	1.506453	0.000368
8613	1.507032	0.000368
7847	1.506400	0.000368
5792	1.507144	0.000368
7724	1.507076	0.000368
6985	1.507493	0.000368
5658	1.507753	0.000368
6149	1.506777	0.000368
9358	1.506743	0.000368
8703	1.507348	0.000368
5558	1.507345	0.000368
9917	1.506670	0.000368
6656	1.507811	0.000368
5929	1.507423	0.000368
8506	1.506872	0.000368
5201	1.507202	0.000368
7053	1.506747	0.000368
6679	1.506996	0.000368
7209	1.506141	0.000368
8126	1.506494	0.000368
6474	1.507418	0.000368
9486	1.506810	0.000368
7888	1.507172	0.000368
6114	1.506720	0.000368
7510	1.507288	0.000368
5245	1.507003	0.000368
9513	1.506987	0.000368
8918	1.506943	0.000368
5697	1.506960	0.000368
7643	1.506931	0.000368
5433	1.507109	0.000368
9553	1.506651	0.000368
9106	1.506991	0.000368
7879	1.507241	0.000368
7502	1.506634	0.000368
5888	1.507089	0.000368
9352	1.506775	0.000368
6511	1.506903	0.000368
9218	1.506849	0.000368
5631	1.507263	0.000368
5121	1.507132	0.000368
5260	1.507050	0.000368
8458	1.507631	0.000368
5131	1.506767	0.000368
7612	1.506714	0.000368
5204	1.507649	0.000368
7905	1.507009	0.000368
6679	1.506713	0.000368
5492	1.507358	0.000368
7868	1.507128	0.000368
9763	1.507173	0.000368
8717	1.506450	0.000368
7707	1.506899	0.000368
9959	1.507090	0.000368
7477	1.507227	0.000368
6473	1.507437	0.000368
5929	1.506556	0.000368
6034	1.507108	0.000368
8839	1.507595	0.000368
7694	1.506657	0.000368
6611	1.506987	0.000368
8673	1.506562	0.000368
5620	1.506818	0.000368
8113	1.506985	0.000368
8674	1.506187	0.000368
9179	1.506806	0.000368
9864	1.506850	0.000368
9413	1.506327	0.000368
9889	1.506554	0.000368
8142	1.506426	0.000368
5920	1.507105	0.000368
7090	1.507527	0.000368
6233	1.506960	0.000368
5476	1.507080	0.000368
5130	1.507774	0.000368
8620	1.506876	0.000368
7663	1.507152	0.000368
5810	1.507013	0.000368
9356	1.507030	0.000368
9675	1.507455	0.000368
7223	1.506597	0.000368
6703	1.506918	0.000368
5645	1.507313	0.000368
9445	1.506397	0.000368
8259	1.506992	0.000368
8792	1.506056	0.000368
5056	1.507149	0.000368
6694	1.507298	0.000368
5956	1.506984	0.000368
9159	1.507304	0.000368
8490	1.506789	0.000368
5998	1.507125	0.000368
8108	1.507056	0.000368
9767	1.506558	0.000368
5386	1.507261	0.000368
9874	1.506899	0.000368
5759	1.507574	0.000368
5164	1.507076	0.000368
9030	1.507777	0.000368
5414	1.507261	0.000368
8506	1.506497	0.000368
9416	1.507098	0.000368
6206	1.506374	0.000368
