threshold	A	u(A)
6707	1.507416	0.000368
5952	1.507443	0.000368
9794	1.507105	0.000368
9260	1.507394	0.000368
5987	1.506975	0.000368
9044	1.506956	0.000368
6482	1.507323	0.000368
6106	1.506613	0.000368
6302	1.506377	0.000368
5315	1.507772	0.000368
9943	1.507568	0.000368
6592	1.507227	0.000368
7753	1.506538	0.000368
5054	1.506708	0.000368
5917	1.507243	0.000368
5379	1.506653	0.000368
5168	1.506979	0.000368
7812	1.507166	0.000368
7733	1.507083	0.000368
8648	1.507304	0.000368
9482	1.506685	0.000368
7609	1.507120	0.000368
8854	1.506673	0.000368
6645	1.507691	0.000368
9182	1.507762	0.000368
9799	1.507098	0.000368
6909	1.507026	0.000368
5319	1.507379	0.000368
6050	1.507223	0.000368
5346	1.507075	0.000368
6810	1.506936	0.000368
7621	1.506872	0.000368
5716	1.507737	0.000368
7915	1.506507	0.000368
6353	1.507379	0.000368
9494	1.507069	0.000368
9398	1.507463	0.000368
5608	1.506783	0.000368
5972	1.507173	0.000368
7330	1.507551	0.000368
7297	1.506959	0.000368
8007	1.506716	0.000368
7881	1.506819	0.000368
9119	1.506305	0.000368
5360	1.507384	0.000368
7776	1.507808	0.000368
9028	1.505937	0.000368
7527	1.507464	0.000368
5194	1.507407	0.000368
7277	1.507410	0.000368
9455	1.506940	0.000368
8159	1.507336	0.000368
8543	1.506701	0.000368
5832	1.507112	0.000368
7822	1.507446	0.000368
7536	1.506423	0.000368
7234	1.507255	0.000368
8629	1.506954	0.000368
8880	1.507097	0.000368
8195	1.507142	0.000368
5066	1.507120	0.000368
5149	1.506943	0.000368
5280	1.507200	0.000368
9910	1.506822	0.000368
8580	1.507455	0.000368
8774	1.506576	0.000368
7049	1.507211	0.000368
5341	1.507813	0.000368
6455	1.507019	0.000368
9038	1.506721	0.000368
7543	1.507518	0.000368
7673	1.507573	0.000368
5115	1.507439	0.000368
9668	1.506741	0.000368
5995	1.507077	0.000368
9501	1.506329	0.000368
6008	1.507559	0.000368
9366	1.506539	0.000368
8980	1.507595	0.000368
6937	1.507138	0.000368
7464	1.507807	0.000368
6092	1.507559	0.000368
8145	1.506835	0.000368
5110	1.507463	0.000368
7463	1.506986	0.000368
9972	1.507021	0.000368
7258	1.506951	0.000368
7058	1.506709	0.000368
8310	1.506953	0.000368
5940	1.506796	0.000368
6886	1.506990	0.000368
6755	1.507191	0.000368
9065	1.507270	0.000368
6278	1.507278	0.000368
7526	1.507084	0.000368
9120	1.506842	0.000368
7461	1.506907	0.000368
7005	1.507065	0.000368
9265	1.507176	0.000368
5928	1.507016	0.000368
5216	1.507108	0.000368
8159	1.507425	0.000368
5910	1.507368	0.000368
8901	1.506488	0.000368
5869	1.507365	0.000368
8693	1.507035	0.000368
6737	1.507068	0.000368
8131	1.507014	0.000368
5328	1.507773	0.000368
7389	1.506832	0.000368
7599	1.507169	0.000368
8612	1.507452	0.000368
9659	1.506699	0.000368
5773	1.507587	0.000368
5777	1.506835	0.000368
5453	1.506929	0.000368
6664	1.507543	0.000368
8139	1.506823	0.000368
8484	1.506698	0.000368
7860	1.507166	0.000368
7236	1.507112	0.000368
7091	1.507580	0.000368
7981	1.506906	0.000368
8007	1.506897	0.000368
6360	1.506560	0.000368
5027	1.508239	0.000368
9334	1.506517	0.000368
7494	1.507259	0.000368
6753	1.506873	0.000368
6529	1.507079	0.000368
8361	1.507082	0.000368
6847	1.507663	0.000368
7409	1.506498	0.000368
7550	1.507192	0.000368
5423	1.507535	0.000368
7940	1.506817	0.000368
5265	1.506710	0.000368
8539	1.507527	0.000368
8030	1.506505	0.000368
8355	1.507100	0.000368
8452	1.507224	0.000368
9174	1.506943	0.000368
7574	1.507036	0.000368
9652	1.507020	0.000368
6025	1.507782	0.000368
6138	1.507260	0.000368
6747	1.507216	0.000368
6317	1.507267	0.000368
9221	1.507174	0.000368
5150	1.506979	0.000368
6892	1.507383	0.000368
5560	1.507679	0.000368
5316	1.507486	0.000368
8419	1.507530	0.000368
9926	1.507497	0.000368
5438	1.506996	0.000368
6969	1.506670	0.000368
9602	1.507216	0.000368
6657	1.507631	0.000368
8159	1.506778	0.000368
5045	1.507679	0.000368
7717	1.507003	0.000368
8549	1.507093	0.000368
7420	1.506648	0.000368
8927	1.506791	0.000368
5537	1.506933	0.000368
7815	1.506564	0.000368
7162	1.507394	0.000368
9099	1.507254	0.000368
7622	1.507760	0.000368
8982	1.506765	0.000368
9768	1.506778	0.000368
6157	1.507077	0.000368
6627	1.506894	0.000368
6364	1.507255	0.000368
9181	1.506568	0.000368
8683	1.507328	0.000368
5843	1.506865	0.000368
8457	1.506690	0.000368
8408	1.507155	0.000368
7175	1.506787	0.000368
9221	1.506696	0.000368
9882	1.506253	0.000368
8442	1.507198	0.000368
6526	1.506882	0.000368
7406	1.506767	0.000368
8859	1.506852	0.000368
8192	1.506887	0.000368
8717	1.507029	0.000368
9487	1.507084	0.000368
5358	1.506891	0.000368
7723	1.507216	0.000368
8738	1.507363	0.000368
9122	1.506762	0.000368
6414	1.507311	0.000368
9635	1.507123	0.000368
5345	1.507044	0.000368
7143	1.507657	0.000368
5969	1.506958	0.000368
6578	1.506646	0.000368
9327	1.507264	0.000368
5440	1.507120	0.000368
7969	1.506316	0.000368
6324	1.507238	0.000368
6710	1.507695	0.000368
7244	1.507411	0.000368
7237	1.506908	0.000368
6893	1.507221	0.000368
8775	1.507215	0.000368
8330	1.506941	0.000368
9039	1.506630	0.000368
6243	1.507073	0.000368
9931	1.506899	0.000368
7434	1.506863	0.000368
6901	1.507332	0.000368
9147	1.507127	0.000368
6402	1.507333	0.000368
7662	1.506085	0.000368
6877	1.507242	0.000368
5579	1.508011	0.000368
9930	1.506867	0.000368
6501	1.507622	0.000368
8405	1.507181	0.000368
9012	1.506882	0.000368
7184	1.506932	0.000368
7818	1.507466	0.000368
7978	1.506842	0.000368
9405	1.507178	0.000368
5744	1.507154	0.000368
9805	1.507467	0.000368
8788	1.507339	0.000368
6804	1.507595	0.000368
6569	1.507634	0.000368
6397	1.507083	0.000368
8437	1.507341	0.000368
7326	1.506642	0.000368
5573	1.507722	0.000368
5258	1.506943	0.000368
5399	1.507405	0.000368
9785	1.506929	0.000368
9556	1.506584	0.000368
9266	1.507281	0.000368
6017	1.507059	0.000368
9449	1.507063	0.000368
8560	1.507162	0.000368
7709	1.506671	0.000368
8957	1.506620	0.000368
5946	1.507140	0.000368
9850	1.507032	0.000368
9986	1.506769	0.000368
8384	1.507532	0.000368
5771	1.506741	0.000368
5211	1.506995	0.000368
9134	1.506378	0.000368
6128	1.507122	0.000368
5472	1.507469	0.000368
6646	1.507668	0.000368
9973	1.506964	0.000368
5440	1.506996	0.000368
8865	1.507140	0.000368
8638	1.507477	0.000368
6924	1.507338	0.000368
7685	1.507112	0.000368
6111	1.507064	0.000368
