threshold	A	u(A)
5003	1.507344	0.000368
6557	1.507166	0.000368
5975	1.507607	0.000368
7482	1.506830	0.000368
8094	1.506700	0.000368
5562	1.508172	0.000368
6369	1.507183	0.000368
9018	1.507363	0.000368
9811	1.506263	0.000368
8765	1.507095	0.000368
8860	1.507064	0.000368
8750	1.507035	0.000368
6164	1.507729	0.000368
7030	1.506914	0.000368
5499	1.506897	0.000368
5173	1.507230	0.000368
8705	1.507067	0.000368
9852	1.507046	0.000368
8340	1.507128	0.000368
5814	1.507559	0.000368
5504	1.506908	0.000368
9633	1.506377	0.000368
8335	1.506833	0.000368
8621	1.507151	0.000368
7036	1.506957	0.000368
5077	1.507334	0.000368
7196	1.507159	0.000368
8438	1.506911	0.000368
8281	1.506465	0.000368
6800	1.506662	0.000368
5730	1.507070	0.000368
5331	1.506657	0.000368
5450	1.506978	0.000368
8965	1.507759	0.000368
8269	1.507021	0.000368
8539	1.507063	0.000368
6185	1.506856	0.000368
6564	1.507063	0.000368
6250	1.507417	0.000368
5723	1.507862	0.000368
9174	1.506780	0.000368
7828	1.507600	0.000368
6229	1.507231	0.000368
9897	1.506797	0.000368
9307	1.506838	0.000368
8494	1.506945	0.000368
6261	1.506904	0.000368
5157	1.506974	0.000368
5297	1.507525	0.000368
8932	1.507211	0.000368
7310	1.506567	0.000368
9573	1.506793	0.000368
9515	1.507293	0.000368
9314	1.506816	0.000368
9691	1.507308	0.000368
5692	1.507378	0.000368
9309	1.507200	0.000368
9883	1.506704	0.000368
8619	1.506940	0.000368
6739	1.507044	0.000368
9765	1.507211	0.000368
5812	1.507121	0.000368
8691	1.507292	0.000368
7331	1.506871	0.000368
7772	1.507195	0.000368
5466	1.507286	0.000368
8905	1.506777	0.000368
5458	1.507372	0.000368
9600	1.506223	0.000368
9306	1.507368	0.000368
5365	1.508010	0.000368
6793	1.507202	0.000368
8240	1.506721	0.000368
6510	1.507514	0.000368
8551	1.506929	0.000368
7320	1.507281	0.000368
5181	1.507003	0.000368
6346	1.506903	0.000368
9941	1.506631	0.000368
7736	1.506965	0.000368
8888	1.506434	0.000368
8708	1.507434	0.000368
7475	1.507202	0.000368
5946	1.507363	0.000368
7700	1.507197	0.000368
9738	1.506830	0.000368
5082	1.507713	0.000368
6497	1.507309	0.000368
7062	1.507307	0.000368
8081	1.507100	0.000368
9150	1.506736	0.000368
6892	1.507313	0.000368
6070	1.507319	0.000368
7660	1.507097	0.000368
9148	1.506848	0.000368
7013	1.506885	0.000368
6310	1.507230	0.000368
6201	1.507293	0.000368
6346	1.507471	0.000368
8891	1.507347	0.000368
9715	1.506148	0.000368
6827	1.506356	0.000368
8541	1.506679	0.000368
8051	1.506520	0.000368
7807	1.507196	0.000368
9284	1.506912	0.000368
5431	1.507291	0.000368
7049	1.507355	0.000368
9597	1.506804	0.000368
8629	1.507555	0.000368
5105	1.507636	0.000368
9995	1.506798	0.000368
7912	1.507746	0.000368
5036	1.507253	0.000368
8139	1.507412	0.000368
8581	1.507228	0.000368
6589	1.507203	0.000368
5070	1.507369	0.000368
9298	1.507120	0.000368
7402	1.507037	0.000368
9271	1.506914	0.000368
7605	1.507668	0.000368
7431	1.506523	0.000368
8364	1.507146	0.000368
8056	1.506812	0.000368
8856	1.506783	0.000368
9597	1.506714	0.000368
7104	1.506663	0.000368
7640	1.506961	0.000368
9929	1.507470	0.000368
6558	1.507000	0.000368
9532	1.506969	0.000368
5079	1.507481	0.000368
7106	1.506956	0.000368
8596	1.506867	0.000368
6855	1.506189	0.000368
6759	1.506695	0.000368
5509	1.506534	0.000368
6725	1.507803	0.000368
9138	1.506637	0.000368
8170	1.506480	0.000368
8960	1.507062	0.000368
7059	1.507383	0.000368
5070	1.507957	0.000368
5938	1.506742	0.000368
9016	1.506876	0.000368
9768	1.507003	0.000368
7658	1.506421	0.000368
5856	1.506695	0.000368
5222	1.507240	0.000368
9908	1.506689	0.000368
6895	1.507097	0.000368
9303	1.507016	0.000368
5476	1.507869	0.000368
6488	1.507278	0.000368
8053	1.507058	0.000368
8929	1.507636	0.000368
7237	1.506591	0.000368
6200	1.506917	0.000368
6743	1.506690	0.000368
5103	1.507246	0.000368
5959	1.507131	0.000368
8102	1.507316	0.000368
7419	1.507245	0.000368
8636	1.507094	0.000368
5791	1.507244	0.000368
9239	1.507286	0.000368
6809	1.506525	0.000368
9896	1.506990	0.000368
5534	1.507323	0.000368
5117	1.507365	0.000368
5882	1.507602	0.000368
9169	1.507074	0.000368
5613	1.506553	0.000368
5015	1.507201	0.000368
