threshold	A	u(A)
5071	1.506837	0.000368
6405	1.507325	0.000368
5179	1.506909	0.000368
7231	1.507350	0.000368
6418	1.507112	0.000368
8066	1.506872	0.000368
5385	1.506668	0.000368
9080	1.507043	0.000368
9357	1.507580	0.000368
9551	1.506949	0.000368
8628	1.506387	0.000368
6367	1.507160	0.000368
7841	1.506604	0.000368
6339	1.507386	0.000368
7076	1.507377	0.000368
5495	1.507284	0.000368
9393	1.507181	0.000368
7066	1.506867	0.000368
8632	1.507521	0.000368
7689	1.507432	0.000368
6202	1.506702	0.000368
7453	1.507018	0.000368
6910	1.507331	0.000368
9337	1.507721	0.000368
7590	1.507384	0.000368
6595	1.507569	0.000368
9318	1.506719	0.000368
8185	1.507556	0.000368
