threshold	A	u(A)
5074	1.507248	0.000368
5110	1.507816	0.000368
5678	1.506334	0.000368
7297	1.507273	0.000368
5496	1.507078	0.000368
9605	1.506680	0.000368
6646	1.506456	0.000368
9893	1.507281	0.000368
8804	1.507447	0.000368
8730	1.507104	0.000368
7325	1.506843	0.000368
5412	1.507599	0.000368
6998	1.506932	0.000368
5449	1.507490	0.000368
8985	1.507071	0.000368
5146	1.507032	0.000368
5802	1.507170	0.000368
6957	1.507821	0.000368
7303	1.507135	0.000368
6989	1.506190	0.000368
9094	1.507235	0.000368
9943	1.507030	0.000368
7487	1.506431	0.000368
9444	1.506808	0.000368
9192	1.506698	0.000368
5670	1.507242	0.000368
7390	1.507602	0.000368
5387	1.507602	0.000368
8389	1.507173	0.000368
5260	1.507962	0.000368
9956	1.506288	0.000368
9935	1.507329	0.000368
6066	1.506953	0.000368
7653	1.506963	0.000368
6296	1.507369	0.000368
8676	1.507065	0.000368
9818	1.507160	0.000368
9663	1.507220	0.000368
5897	1.507220	0.000368
6963	1.506457	0.000368
6236	1.507058	0.000368
8081	1.507020	0.000368
5222	1.507134	0.000368
9398	1.507370	0.000368
6740	1.507382	0.000368
